Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,BOGOR,BOGORTENGAH,37,21,10,12,80,0,160.0
JawaBarat,BOGOR,BOGORTIMUR,28,14,8,13,63,0,126.0
JawaBarat,TASIKMALAYA,KAWALU,33,17,3,4,57,8,54.44
JawaBarat,TASIKMALAYA,TAWANG,25,14,8,6,53,7,51.75
JawaBarat,TASIKMALAYA,MANGKUBUMI,33,12,2,4,51,0,102.0
JawaBarat,TASIKMALAYA,TAMANSARI,22,10,1,7,40,20,20.95
JawaBarat,TASIKMALAYA,CIBEUREUM,18,12,2,4,36,6,34.29
JawaBarat,TASIKMALAYA,CIHIDEUNG,24,9,4,7,44,8,40.0
JawaBarat,TASIKMALAYA,CIPEDES,23,5,1,9,38,8,33.33
JawaBarat,TASIKMALAYA,BUNGURSARI,18,9,5,4,36,0,72.0
JawaBarat,TASIKMALAYA,INDIHIANG,17,5,4,4,30,9,23.1
JawaBarat,TASIKMALAYA,PURBARATU,14,3,1,2,20,4,19.2
JawaBarat,PANGANDARAN,PADAHERANG,44,10,1,3,58,17,43.28
JawaBarat,PANGANDARAN,LANGKAPLANCAR,42,9,1,3,55,4,61.2
JawaBarat,PANGANDARAN,PARIGI,35,6,1,5,47,6,46.86
JawaBarat,PANGANDARAN,CIMERAK,34,7,1,4,46,7,43.88
JawaBarat,PANGANDARAN,PANGANDARAN,27,7,2,3,39,4,42.0
JawaBarat,PANGANDARAN,KALIPUCANG,32,5,0,4,41,3,47.5
